9045137,article,annals of botany,,,,24,99,4,2007,apr,2011-03-22 23:55:46,,nuclear {dna} content estimates in green algal lineages: chlorophyta and streptophyta,"background and aims consensus higher-level molecular phylogenies present a compelling case that an ancient divergence separates eukaryotic green algae into two major monophyletic lineages, chlorophyta and streptophyta, and a residuum of green algae, which have been referred to prasinophytes or micromonadophytes. nuclear {dna} content estimates have been published for less than 1\% of the described green algal members of chlorophyta, which includes multicellular green marine algae and freshwater flagellates (e.g. chlamydomonas and volvox). the present investigation summarizes the state of our knowledge and adds substantially to our database of c-values, especially for the streptophyte charophycean lineage which is the sister group of the land plants. a recent list of {2c} nuclear {dna} contents for isolates and species of green algae is expanded by 72 to {157.methods} the {dna}-localizing fluorochrome {dapi} (4′,6-diamidino-2-phenylindole) and red blood cell (chicken erythrocytes) standard were used to estimate {2c} values with static {microspectrophotometry.key} results in chlorophyta, including chlorophyceae, prasinophyceae, trebouxiophyceae and ulvophyceae, {2c} {dna} estimates range from 0·01 to 5·8 pg. nuclear {dna} content variation trends are noted and discussed for specific problematic taxon pairs, including {ulotrichales–ulvales}, and {cladophorales–siphonocladales}. for streptophyta, {2c} nuclear {dna} contents range from 0·2 to 6·4 pg, excluding the highly polyploid charales and desmidiales, which have genome sizes of up to 14·8 and 46·8 pg, respectively. nuclear {dna} content data for streptophyta superimposed on a contemporary molecular phylogeny indicate that early diverging lineages, including some members of chlorokybales, coleochaetales and klebsormidiales, have genomes as small as 0·1–0·5 pg. it is proposed that the streptophyte ancestral nuclear genome common to both the charophyte and the embryophyte lineages can be characterized as {1c} = 0·2 pg and 1n = {6.conclusions} these data will help pre-screen candidate species for the on-going construction of bacterial artificial chromosome nuclear genome libraries for land plant ancestors. data for the prasinophyte mesostigma are of particular interest as this alga reportedly most closely resembles the 'ancestral green flagellate'. both mechanistic and ecological processes are discussed that could have produced the observed c-value increase of >100-fold in the charophyte green algae whereas the ancestral genome was conserved in the embryophytes."
3728173,article,proceedings of the national academy of sciences,,,national academy of sciences,5,104,Suppl 1,2007,may,2008-11-29 20:58:14,,evolution of individuality during the transition from unicellular to multicellular life,"individuality is a complex trait, yet a series of stages each advantageous in itself can be shown to exist allowing evolution to get from unicellular individuals to multicellular individuals. we consider several of the key stages involved in this transition: the initial advantage of group formation, the origin of reproductive altruism within the group, and the further specialization of cell types as groups increase in size. how do groups become individuals? this is the central question we address. our hypothesis is that fitness tradeoffs drive the transition of a cell group into a multicellular individual through the evolution of cells specialized at reproductive and vegetative functions of the group. we have modeled this hypothesis and have tested our models in two ways. we have studied the origin of the genetic basis for reproductive altruism (somatic cells specialized at vegetative functions) in the multicellular volvox carteri by showing how an altruistic gene may have originated through cooption of a life-history tradeoff gene present in a unicellular ancestor. second, we ask why reproductive altruism and individuality arise only in the larger members of the volvocine group (recognizing that high levels of kinship are present in all volvocine algae groups). our answer is that the selective pressures leading to reproductive altruism stem from the increasing cost of reproduction with increasing group size. concepts from population genetics and evolutionary biology appear to be sufficient to explain complexity, at least as it relates to the problem of the major transitions between the different kinds of evolutionary individuals."
8310458,article,evolution,,,blackwell publishing inc,15,62,2,2008,,2010-11-26 15:46:08,,evolution of complexity in the volvocine algae: transitions in individuality through darwin's eye,"the transition from unicellular to differentiated multicellular organisms constitutes an increase in the level complexity, because previously existing individuals are combined to form a new, higher-level individual. the volvocine algae represent a unique opportunity to study this transition because they diverged relatively recently from unicellular relatives and because extant species display a range of intermediate grades between unicellular and multicellular, with functional specialization of cells. following the approach darwin used to understand  ” organs of extreme perfection” such as the vertebrate eye, this jump in complexity can be reduced to a series of small steps that cumulatively describe a gradual transition between the two levels. we use phylogenetic reconstructions of ancestral character states to trace the evolution of steps involved in this transition in volvocine algae. the history of these characters includes several well-supported instances of multiple origins and reversals. the inferred changes can be understood as components of cooperation–conflict–conflict mediation cycles as predicted by multilevel selection theory. one such cycle may have taken place early in volvocine evolution, leading to the highly integrated colonies seen in extant volvocine algae. a second cycle, in which the defection of somatic cells must be prevented, may still be in progress."
80546,article,biology and philosophy,,,,17,19,2,2004,mar,2005-01-26 21:35:21,,the arbitrariness of the genetic code,"the genetic code has been regarded as arbitrary in the sense that the codon-amino acid assignments could be different than they actually are. this general idea has been spelled out differently by previous, often rather implicit accounts of arbitrariness. they have drawn on the frozen accident theory, on evolutionary contingency, on alternative causal pathways, and on the absence of direct stereochemical interactions between codons and amino acids. it has also been suggested that the arbitrariness of the genetic code justifies attributing semantic information to macromolecules, notably to {dna}. i argue that these accounts of arbitrariness are unsatisfactory. i propose that the code is arbitrary in the sense of jacques monod's concept of chemical arbitrariness: the genetic code is arbitrary in that any codon requires certain chemical and structural properties to specify a particular amino acid, but these properties are not required in virtue of a principle of chemistry. this notion of arbitrariness is compatible with several recent hypotheses about code evolution. i maintain that the code's chemical arbitrariness is neither sufficient nor necessary for attributing semantic information to nucleic acids."
5842862,article,molecular cell,,,elsevier,2,35,6,2009,sep,2009-09-30 17:11:23,,how to choose a good scientific problem,"choosing good problems is essential for being a good scientist. but what is a good problem, and how do you choose one? the subject is not usually discussed explicitly within our profession. scientists are expected to be smart enough to figure it out on their own and through the observation of their teachers. this lack of explicit discussion leaves a vacuum that can lead to approaches such as choosing problems that can give results that merit publication in valued journals, resulting in a job and tenure."
1242600,article,oikos,,,blackwell publishing ltd,4,116,5,2007,may,2007-05-01 11:06:49,,how to write consistently boring scientific literature,"although scientists typically insist that their research is very exciting and adventurous when they talk to laymen and prospective students, the allure of this enthusiasm is too often lost in the predictable, stilted structure and language of their scientific publications. i present here, a top-10 list of recommendations for how to write consistently boring scientific publications. i then discuss why we should and how we could make these contributions more accessible and exciting."
3467077,article,plos computational biology,,,public library of science,,4,10,2008,oct,2008-10-30 23:02:02,,defrosting the digital library: bibliographic tools for the next generation web.,"many scientists now manage the bulk of their bibliographic information electronically, thereby organizing their publications and citation material from digital libraries. however, a library has been described as ""thought in cold storage,"" and unfortunately many digital libraries can be cold, impersonal, isolated, and inaccessible places. in this review, we discuss the current chilly state of digital libraries for the computational biologist, including {pubmed}, {ieee} xplore, the {acm} digital library, {isi} web of knowledge, scopus, citeseer, {arxiv}, {dblp}, and google scholar. we illustrate the current process of using these libraries with a typical workflow, and highlight problems with managing data and metadata using {uris}. we then examine a range of new applications such as zotero, mendeley, mekentosj papers, {myncbi}, {citeulike}, connotea, and {hubmed} that exploit the web to make these digital libraries more personal, sociable, integrated, and accessible places. we conclude with how these applications may begin to help achieve a digital defrost, and discuss some of the issues that will help or hinder this in terms of making libraries on the web warmer places in the future, becoming resources that are considerably more useful to both humans and machines."
309395,article,plos medicine,,,public library of science,,2,8,2005,aug,2005-09-15 01:16:48,,why most published research findings are false,"there is increasing concern that most current published research findings are false. the probability that a research claim is true may depend on study power and bias, the number of other studies on the same question, and, importantly, the ratio of true to no relationships among the relationships probed in each scientific field. in this framework, a research finding is less likely to be true when the studies conducted in a field are smaller; when effect sizes are smaller; when there is a greater number and lesser preselection of tested relationships; where there is greater flexibility in designs, definitions, outcomes, and analytical modes; when there is greater financial and other interest and prejudice; and when more teams are involved in a scientific field in chase of statistical significance. simulations show that for most study designs and settings, it is more likely for a research claim to be false than true. moreover, for many current scientific fields, claimed research findings may often be simply accurate measures of the prevailing bias. in this essay, i discuss the implications of these problems for the conduct and interpretation of research."
305755,article,,,,,,,,2005,aug,2005-08-27 18:07:09,,the structure of collaborative tagging systems,
6603134,article,mol cell,,,cell press,1,37,2,2010,jan,2010-01-29 11:33:17,,how to build a motivated research group,"motivated group members experience a full sense of choice: of doing what one wants. such behavior shows high performance, is enjoyable, and enhances innovation. this essay describes principles of building a motivated research group."
99,article,nature,,,nature publishing group,2,393,6684,1998,jun,2004-11-07 13:58:29,"department of theoretical and applied mechanics, cornell university, ithaca, new york 14853, usa. djw24@columbia.edu",collective dynamics of 'small-world' networks,"networks of coupled dynamical systems have been used to model biological oscillators1, 2, 3, 4, josephson junction arrays5,6, excitable media7, neural networks8, 9, 10, spatial games11, genetic control networks12 and many other self-organizing systems. ordinarily, the connection topology is assumed to be either completely regular or completely random. but many biological, technological and social networks lie somewhere between these two extremes. here we explore simple models of networks that can be tuned through this middle ground: regular networks 'rewired' to introduce increasing amounts of disorder. we find that these systems can be highly clustered, like regular lattices, yet have small characteristic path lengths, like random graphs. we call them 'small-world' networks, by analogy with the small-world phenomenon13,14 (popularly known as six degrees of separation15). the neural network of the worm caenorhabditis elegans, the power grid of the western united states, and the collaboration graph of film actors are shown to be small-world networks. models of dynamical systems with small-world coupling display enhanced signal-propagation speed, computational power, and synchronizability. in particular, infectious diseases spread more easily in small-world networks than in regular lattices."
105595,book,,,,plume,,,,2003,apr,2005-02-27 02:23:03,,linked: how everything is connected to everything else and what it means,how is the human brain like the {aids} epidemic? ask physicist {albert-l\'{a}szl\'{o
212874,article,nature genetics,,,nature publishing group,4,25,1,2000,may,2005-05-27 13:30:37,"department of genetics, stanford university school of medicine, california, usa. cherry@stanford.edu",gene ontology: tool for the unification of biology. the gene ontology consortium.,"genomic sequencing has made it clear that a large fraction of the genes specifying the core biological functions are shared by all eukaryotes. knowledge of the biological role of such shared proteins in one organism can often be transferred to other organisms. the goal of the gene ontology consortium is to produce a dynamic, controlled vocabulary that can be applied to all eukaryotes even as knowledge of gene and protein roles in cells is accumulating and changing. to this end, three independent ontologies accessible on the {world-wide} web (http://www.geneontology.org) are being constructed: biological process, molecular function and cellular component."
740681,article,journal of information science,,,sage publications,10,32,2,2006,apr,2006-07-05 18:36:15,"thousand oaks, ca, usa",usage patterns of collaborative tagging systems,"collaborative tagging describes the process by which many users add metadata in the form of keywords to shared content. recently, collaborative tagging has grown in popularity on the web, on sites that allow users to tag bookmarks, photographs and other content. in this paper we analyze the structure of collaborative tagging systems as well as their dynamic aspects. specifically, we discovered regularities in user activity, tag frequencies, kinds of tags used, bursts of popularity in bookmarking and a remarkable stability in the relative proportions of tags within a given {url}. we also present a dynamic model of collaborative tagging that predicts these stable patterns and relates them to imitation and shared knowledge."
101,article,science,,,american association for the advancement of science,3,298,5594,2002,oct,2004-11-08 11:27:57,"departments of physics of complex systems and molecular cell biology, weizmann institute of science, rehovot, israel 76100.",network motifs: simple building blocks of complex networks,"complex networks are studied across many fields of science. to uncover their structural design principles, we defined  ” network motifs,” patterns of interconnections occurring in complex networks at numbers that are significantly higher than those in randomized networks. we found such motifs in networks from biochemistry, neurobiology, ecology, and engineering. the motifs shared by ecological food webs were distinct from the motifs shared by the genetic networks of escherichia coli and saccharomyces cerevisiae or from those found in the world wide web. similar motifs were found in networks that perform information processing, even though they describe elements as different as biomolecules within a cell and synaptic connections between neurons in caenorhabditis elegans. motifs may thus define universal classes of networks. this approach may uncover the basic building blocks of most networks."
99857,article,american journal of sociology,,,the university of chicago press,20,78,6,1973,,2005-02-20 23:48:01,,the strength of weak ties,"analysis of social networks is suggested as a tool for linking micro and macro levels of sociological theory. the procedure is illustrated by elaboration of the macro implications of one aspect of small-scale interaction: the strength of dyadic ties. it is argued that the degree of overlap of two individuals' friendship networks varies directly with the strength of their tie to one another. the impact of this principle on diffusion of influence and information, mobility opportunity, and community organization is explored. stress is laid on the cohesive power of weak ties. most network models deal, implicitly, with strong ties, thus confining their applicability to small, well-defined groups. emphasis on weak ties lends itself to discussion of relations between groups and to analysis of segments of social structure not easily defined in terms of primary groups."
3614773,article,nature reviews genetics,,,nature publishing group,6,10,1,2009,jan,2008-11-20 17:50:25,,{rna}-seq: a revolutionary tool for transcriptomics,"{rna}-seq is a recently developed approach to transcriptome profiling that uses deep-sequencing technologies. studies using this method have already altered our view of the extent and complexity of eukaryotic transcriptomes. {rna}-seq also provides a far more precise measurement of levels of transcripts and their isoforms than other methods. this article describes the {rna}-seq approach, the challenges associated with its application, and the advances made so far in characterizing several eukaryote transcriptomes."
873540,book,,,,springer,,,,2006,oct,2006-09-26 18:44:17,,pattern recognition and machine learning,"the field of pattern recognition has undergone substantial development over the years. this book reflects these developments while providing a grounding in the basic concepts of pattern recognition and machine learning. it is aimed at advanced undergraduates or first year {phd} students, as well as researchers and practitioners."
6434100,article,plos comput biol,,,public library of science,,5,12,2009,dec,2009-12-24 05:57:41,,a quick guide for developing effective bioinformatics programming skills,
100088,article,journal of molecular biology,,,,7,215,3,1990,oct,2005-02-21 16:47:05,"national center for biotechnology information, national library of medicine, national institutes of health, bethesda, md 20894.",basic local alignment search tool.,"a new approach to rapid sequence comparison, basic local alignment search tool ({blast}), directly approximates alignments that optimize a measure of local similarity, the maximal segment pair ({msp}) score. recent mathematical results on the stochastic properties of {msp} scores allow an analysis of the performance of this method as well as the statistical significance of alignments it generates. the basic algorithm is simple and robust; it can be implemented in a number of ways and applied in a variety of contexts including straightforward {dna} and protein sequence database searches, motif searches, gene identification searches, and in the analysis of multiple regions of similarity in long {dna} sequences. in addition to its flexibility and tractability to mathematical analysis, {blast} is an order of magnitude faster than existing sequence comparison tools of comparable sensitivity."
1387765,article,siam review,,,,42,51,4,2009,feb,2007-06-13 17:29:15,,power-law distributions in empirical data,
161814,book,,,,springer,,,,2003,jul,2005-04-15 15:57:22,,the elements of statistical learning,
117535,article,journal of the royal statistical society. series b (methodological),,,blackwell publishing for the royal statistical society,37,39,1,1977,,2005-03-08 19:21:57,,maximum likelihood from incomplete data via the {em} algorithm,"a broadly applicable algorithm for computing maximum likelihood estimates from incomplete data is presented at various levels of generality. theory showing the monotone behaviour of the likelihood and convergence of the algorithm is derived. many examples are sketched, including missing value situations, applications to grouped, censored or truncated data, finite mixture models, variance component estimation, hyperparameter estimation, iteratively reweighted least squares and factor analysis."
5307378,article,plos computational biology,plos comput biol,,public library of science,,5,7,2009,jul,2009-07-31 09:14:26,,a quick guide to organizing computational biology projects,
361498,article,,,,,,,,2005,sep,2005-10-22 11:31:35,,folksonomy as a complex network,
3283,techreport,,,,,,,,1998,,2004-12-13 09:25:46,,the {pagerank} citation ranking: bringing order to the web,"the importance of a web page is an inherently subjective matter, which depends on the readers interests, knowledge and attitudes. but there is still much that can be said objectively about the relative importance of web pages. this paper describes {pagerank}, a method for rating web pages objectively and mechanically, effectively measuring the human interest and attention devoted to them. we compare {pagerank} to an idealized random web surfer. we show how to efficiently compute {pagerank} for large..."
4131662,article,genome biology,genome biology,,biomed central ltd,-15,10,3,2009,mar,2009-03-04 11:12:15,,ultrafast and memory-efficient alignment of short {dna} sequences to the human genome,"bowtie is an ultrafast, memory-efficient alignment program for aligning short {dna} sequence reads to large genomes. for the human genome, {burrows-wheeler} indexing allows bowtie to align more than 25 million reads per {cpu} hour with a memory footprint of approximately 1.3 gigabytes. bowtie extends previous {burrows-wheeler} techniques with a novel quality-aware backtracking algorithm that permits mismatches. multiple processor cores can be used simultaneously to achieve even greater alignment speeds. bowtie is open source http://bowtie.cbcb.umd.edu."
115158,book,,,,addison-wesley professional,,,,1994,jan,2005-03-06 00:48:06,,design patterns: elements of reusable {object-oriented} software,"<{i>design} {patterns</i}> is a modern classic in the literature of object-oriented development, offering timeless and elegant solutions to common problems in software design. it describes patterns for managing object creation, composing objects into larger structures, and coordinating control flow between objects. the book provides numerous examples where using composition rather than inheritance can improve the reusability and flexibility of code. note, though, that it's not a tutorial but a catalog that you can use to find an object-oriented design pattern that's appropriate for the needs of your particular application--a selection for virtuoso programmers who appreciate (or require) consistent, well-engineered object-oriented designs. now on {cd}, this internationally acclaimed bestseller is more valuable than ever! <p> use the contents of the {cd} to create your own design documents and reusable components. the {cd} contains: 23 patterns you can cut and paste into your own design documents; sample code demonstrating pattern implementation; complete design patterns content in standard {html} format, with numerous hyperlinked cross-references; accessed through a standard web browser; java-based dynamic search mechanism, enhancing online seach capabilities; graphical user environment, allowing ease of navigation. <p> first published in 1995, this landmark work on object-oriented software design presents a catalog of simple and succinct solutions to common design problems. created by four experienced designers, the 23 patterns contained herein have become an essential resource for anyone developing reusable object-oriented software. in response to reader demand, the complete text and pattern catalog are now available on {cd}-{rom}. this electronic version of <{i>design} patterns</i> enables programmers to install the book directly onto a computer or network for use as an online reference for creating reusable object-oriented software. <p> the authors first describe what patterns are and how they can help you in the design process. they then systematically name, explain, evaluate, and catalog recurring designs in object-oriented systems. all patterns are compiled from real-world examples and include code that demonstrates how they may be implemented in object-oriented programming languages such as c++ and smalltalk. readers who already own the book will want the {cd} to take advantage of its dynamic search mechanism and ready-to-install patterns."
5662136,article,plos comput biol,,,public library of science,,5,8,2009,aug,2009-08-28 08:29:46,,a quick guide to teaching r programming to computational biology students,
816066,inproceedings,,proceedings of the seventeenth conference on hypertext and hypermedia,hypertext,acm,9,,,2006,,2006-08-24 21:17:15,"new york, ny, usa","{ht06}, tagging paper, taxonomy, flickr, academic article, to read","in recent years, tagging systems have become increasingly popular. these systems enable users to add keywords (i.e., ""tags"") to internet resources (e.g., web pages, images, videos) without relying on a controlled vocabulary. tagging systems have the potential to improve search, spam detection, reputation systems, and personal organization while introducing new modalities of social communication and opportunities for data mining. this potential is largely due to the social structure that underlies many of the current {systems.despite} the rapid expansion of applications that support tagging of resources, tagging systems are still not well studied or understood. in this paper, we provide a short description of the academic related work to date. we offer a model of tagging systems, specifically in the context of web-based systems, to help us illustrate the possible benefits of these tools. since many such systems already exist, we provide a taxonomy of tagging systems to help inform their analysis and design, and thus enable researchers to frame and compare evidence for the sustainability of such systems. we also provide a simple taxonomy of incentives and contribution models to inform potential evaluative frameworks. while this work does not present comprehensive empirical results, we present a preliminary study of the photo-sharing and tagging system flickr to demonstrate our model and explore some of the issues in one sample system. this analysis helps us outline and motivate possible future directions of research in tagging systems."
10132366,article,science,,,american association for the advancement of science,6,334,6062,2011,dec,2011-12-15 21:05:31,,detecting novel associations in large data sets,"identifying interesting relationships between pairs of variables in large data sets is increasingly important. here, we present a measure of dependence for two-variable relationships: the maximal information coefficient ({mic}). {mic} captures a wide range of associations both functional and not, and for functional relationships provides a score that roughly equals the coefficient of determination (r(2)) of the data relative to the regression function. {mic} belongs to a larger class of maximal information-based nonparametric exploration ({mine}) statistics for identifying and classifying relationships. we apply {mic} and {mine} to data sets in global health, gene expression, major-league baseball, and the human gut microbiota and identify known and novel relationships."
1688531,article,faseb journal,,,federation of american societies for experimental biology,4,22,2,2008,feb,2007-09-24 07:31:33,"*alfa institute of biomedical sciences, athens, greece;department of medicine, tufts university school of medicine, boston, massachusetts, usa; andinstitute of continuing medical education of ioannina, ioannina, greece.","comparison of {pubmed}, scopus, web of science, and google scholar: strengths and weaknesses.","the evolution of the electronic age has led to the development of numerous medical databases on the world wide web, offering search facilities on a particular subject and the ability to perform citation analysis. we compared the content coverage and practical utility of {pubmed}, scopus, web of science, and google scholar. the official web pages of the databases were used to extract information on the range of journals covered, search facilities and restrictions, and update frequency. we used the example of a keyword search to evaluate the usefulness of these databases in biomedical information retrieval and a specific published article to evaluate their utility in performing citation analysis. all databases were practical in use and offered numerous search facilities. {pubmed} and google scholar are accessed for free. the keyword search with {pubmed} offers optimal update frequency and includes online early articles; other databases can rate articles by number of citations, as an index of importance. for citation analysis, scopus offers about 20\% more coverage than web of science, whereas google scholar offers results of inconsistent accuracy. {pubmed} remains an optimal tool in biomedical electronic research. scopus covers a wider journal range, of help both in keyword searching and citation analysis, but it is currently limited to recent articles (published after 1995) compared with web of science. google scholar, as for the web in general, can help in the retrieval of even the most obscure information but its use is marred by inadequate, less often updated, citation information."
70828,article,contemporary physics,,,taylor \& francis,28,46,5,2005,sep,2004-12-29 16:08:54,,"power laws, pareto distributions and zipf's law","when the probability of measuring a particular value of some quantity varies inversely as a power of that value, the quantity is said to follow a power law, also known variously as zipf's law or the pareto distribution. power laws appear widely in physics, biology, earth and planetary sciences, economics and finance, computer science, demography and the social sciences. for instance, the distributions of the sizes of cities, earthquakes, forest fires, solar flares, moon craters and people's personal fortunes all appear to follow power laws. the origin of power-law behaviour has been a topic of debate in the scientific community for more than a century. here we review some of the empirical evidence for the existence of power-law forms and the theories proposed to explain them."
1272533,article,the journal of cell biology,j. cell biol.,,rockefeller university press,4,177,1,2007,apr,2007-05-02 19:37:24,,error bars in experimental biology.,"error bars commonly appear in figures in publications, but experimental biologists are often unsure how they should be used and interpreted. in this article we illustrate some basic features of error bars and explain how they can help communicate data and assist correct interpretation. error bars may show confidence intervals, standard errors, standard deviations, or other quantities. different types of error bars give quite different information, and so figure legends must make clear what error bars represent. we suggest eight simple rules to assist with effective use and interpretation of error bars."
